model,forecast_type,MAE,RMSE,MASE,Bias
foundation_chronos2,unconditional,33.05669542342897,65.50840949998882,0.6187637278334323,-18.98088728435456
foundation_chronos2_cov,conditional,34.71721894778902,70.37949230194924,0.6498458342850019,-22.037809663348725
sarima_targetonly,unconditional,35.77866988878718,63.82890251384334,0.6697143460267662,-4.151694218303151
sarimax,conditional,37.04947558500732,64.02550357746884,0.6935016139273509,-3.7166661348094063
feature_model,unconditional,40.78117015626695,66.11765539665237,0.7633524327848177,4.049603318411206
seasonal_naive_weekly,unconditional,42.63392857142857,79.29026483676037,0.7980328413693866,-10.818452380952381
mean,unconditional,50.319095845289134,74.9057320022781,0.9418857791929033,-3.1088025652599205
feature_model_conditional,conditional,52.25388555299668,71.21613485856372,0.9781016706115712,20.800004168162268
seasonal_naive_daily,unconditional,86.95932539682539,129.23203031265183,1.6277270205988035,64.01289682539682
naive,unconditional,250.6398809523809,258.81973857632954,4.691541761670009,247.7628968253968
drift,unconditional,266.37295305016687,274.6111124071479,4.986037452083107,264.5006776132961
