p,d,q,aic,bic
6,0,3,32967.44277185829,33033.32047664469
5,0,3,32972.8176382673,33032.70985235545
5,0,4,32983.514427570175,33049.39586306714
6,0,6,33017.96915092191,33101.80875268024
6,1,6,33020.22279159177,33098.069438353064
6,1,2,33022.54612984237,33076.44301668701
5,0,6,33023.11348402211,33100.9645427977
3,1,6,33023.98263451166,33083.86467048188
6,0,5,33024.02397785515,33101.87944714817
2,1,6,33024.27548894759,33078.16932132079
1,1,6,33024.77092282143,33072.67655159761
4,1,6,33026.48501042521,33092.35524999246
1,0,6,33026.825194322846,33080.722081167485
4,0,6,33027.15850986836,33099.02102566121
2,0,6,33028.321033007844,33088.206462835224
6,1,1,33028.952965421486,33076.861309283384
5,1,6,33029.31292062286,33101.171363787136
0,1,6,33029.88422798118,33071.801653160335
3,0,6,33030.205220846794,33096.07919365691
0,0,6,33030.996823241774,33078.90516710367
6,0,0,33035.006317915875,33082.91737594235
4,1,4,33035.19619266561,33089.09613294539
1,1,5,33036.27821098995,33078.19801186911
6,0,2,33036.575091218474,33096.46391375157
6,0,1,33036.963381695605,33090.86332197539
4,0,5,33038.24717763093,33104.12488241733
1,0,5,33039.326796724265,33087.23785475074
3,0,5,33040.29107248623,33100.179895019326
2,1,5,33041.80890517607,33089.71724903797
2,1,4,33042.18238639496,33084.104562168126
5,1,2,33043.50799223586,33091.41905026233
5,1,1,33044.44233075056,33086.36450652372
0,0,5,33045.626902676355,33087.54907844952
3,1,5,33046.200602026176,33100.097488870815
5,0,5,33047.10714948154,33118.97373652125
5,1,3,33049.03627606448,33102.936216344264
5,0,2,33049.19302043344,33103.09601311278
4,0,4,33049.472714356554,33109.36492844471
4,1,3,33049.91980069521,33097.833571965726
6,1,4,33050.38152809696,33116.25550090707
5,0,0,33051.42073805928,33093.34528792099
3,1,4,33051.44526696589,33099.35632499237
1,0,4,33053.15084932454,33095.07539918625
2,0,5,33053.1741685969,33107.07410887669
5,0,1,33053.42461718803,33101.33838845855
2,0,4,33054.8544034605,33102.76817473102
6,1,5,33055.074121887985,33126.93663768084
1,1,4,33055.37158895878,33091.30488247863
3,0,4,33055.66940422371,33109.572396903044
1,1,3,33056.55516872648,33086.501275770555
4,1,1,33057.40005626954,33093.33538472243
6,0,4,33057.639512019654,33129.50609905936
6,1,3,33057.80577713848,33117.69120696586
5,1,5,33057.892886319416,33123.76685912953
2,1,3,33058.317270598745,33094.25259905164
4,1,2,33059.42595754516,33101.35050740687
4,0,0,33060.02138958438,33095.95875228038
4,0,2,33060.142584608795,33108.05906820347
3,1,3,33060.230449138384,33102.15499900009
0,1,5,33061.26330110502,33097.194559001444
1,0,3,33061.301087192835,33097.238449888835
4,0,1,33062.01244340575,33103.93936655109
4,0,3,33062.28599793726,33116.19204198127
2,0,3,33063.05111187146,33104.97803501679
4,1,5,33064.31326864887,33124.19869847625
3,0,3,33065.044865423646,33112.96134901832
5,1,4,33066.34905224883,33126.237874781924
1,0,2,33069.82834158285,33099.777838457565
2,0,2,33072.37085582613,33108.31025207578
3,1,1,33073.39182326893,33103.339625515604
3,0,2,33073.6324711582,33115.5617667828
2,1,2,33075.029706378795,33104.97750862547
3,0,0,33076.38437331338,33106.3338701881
3,1,2,33078.07854300369,33114.01590569969
3,0,1,33078.23752328683,33114.17691953648
0,0,4,33083.13948556305,33119.07481401594
2,1,1,33087.905009515045,33111.86460701482
2,0,0,33089.86990019241,33113.830852935294
2,0,1,33090.0216944877,33119.972885416304
3,2,3,33095.36410075943,33137.28627653259
3,2,6,33096.05633886341,33155.93497982427
2,2,4,33101.67626655887,33143.59606743803
5,2,2,33107.87652295208,33155.78486681398
0,1,4,33114.14722577507,33144.091637041616
1,0,1,33114.99745962972,33138.9584123726
1,1,2,33116.81921212951,33140.77745392684
4,2,2,33117.16808129613,33159.09025706929
6,2,3,33119.430934828386,33179.31297079861
1,2,4,33126.765325144916,33162.69658304134
4,2,4,33131.0797135216,33184.97660036624
3,2,4,33131.3396150826,33179.2479589445
0,0,3,33132.7835732485,33162.73137549517
6,2,2,33143.12108243452,33197.01491480772
2,2,5,33145.359919382936,33193.265548159114
5,2,3,33146.78050699577,33200.67739384041
0,2,6,33159.29615723284,33201.21120590544
1,2,6,33159.813174417126,33207.716087185814
2,2,3,33170.343765061196,33206.27705858105
4,2,3,33180.548012103594,33228.45907013007
2,2,2,33204.23429107883,33234.1803981229
0,2,5,33205.74187578639,33241.671097368526
3,2,5,33212.15284246106,33266.04667483426
1,1,1,33215.02259361907,33232.992291743896
1,0,0,33219.70877583846,33237.68050648369
5,2,4,33223.403065288076,33283.288495115456
2,2,6,33260.25847761185,33314.14925447662
1,2,5,33263.62751267861,33305.54493785777
0,1,3,33267.591875444654,33291.54876107992
0,0,2,33281.720690696195,33305.68028819597
6,2,1,33305.79783404933,33353.703462825506
6,1,0,33306.55027547027,33348.47007634943
0,2,4,33311.661722079836,33341.604436993526
6,2,4,33319.37738188339,33385.24762145064
1,2,2,33324.481613818374,33348.43849945364
5,2,1,33334.08476111422,33376.00456199339
5,1,0,33338.74763800402,33374.68093152387
5,2,6,33343.946073226354,33415.80044237938
4,2,1,33370.2954346777,33406.22872819755
4,1,0,33373.3162036333,33403.262310677375
4,2,6,33378.05034755884,33443.91685261578
0,2,3,33384.85234695272,33408.807875965955
1,2,3,33388.09876913126,33418.043180397806
4,2,5,33398.51020870569,33458.39224467591
0,1,2,33399.83479299252,33417.80347434052
0,2,2,33400.28717815201,33418.254842378454
6,2,6,33409.87827836369,33487.72051161281
6,2,5,33410.359400473026,33482.2178436373
0,1,1,33411.61430769049,33423.594106440374
5,2,5,33413.20840393348,33479.07864350073
3,2,1,33416.07555911343,33446.0216661575
3,1,0,33416.93828299841,33440.896524795746
3,2,2,33432.95657196142,33468.89190041431
2,2,1,33440.13087336098,33464.08911515831
2,1,0,33441.27313390225,33459.24283202708
1,2,1,33461.48116428378,33479.44984563178
1,1,0,33473.749454124874,33485.729930496316
0,0,1,33669.711684867856,33687.682399425015
0,2,1,33891.35450644982,33903.33362734848
0,1,0,33903.56273247466,33909.55297066038
6,2,0,33959.09098972174,34001.0084149009
5,2,0,34094.67506773412,34130.60632563054
4,2,0,34230.651932242254,34260.5963435088
0,0,0,34402.95575246126,34414.93690622475
3,2,0,34417.60403293841,34441.560918573676
2,2,0,34651.63896527975,34669.60764662775
1,2,0,35205.75427558549,35217.73407433537
0,2,0,36864.280879226615,36870.27077860156
